COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,value,index
USA,XDC_USD,EOP_RT,M,2000-M01,1.0,
USA,XDC_USD,EOP_RT,M,2000-M02,1.0,
USA,XDC_USD,EOP_RT,M,2000-M03,1.0,
USA,XDC_USD,EOP_RT,M,2000-M04,1.0,
USA,XDC_USD,EOP_RT,M,2000-M05,1.0,
USA,XDC_USD,EOP_RT,M,2000-M06,1.0,
USA,XDC_USD,EOP_RT,M,2000-M07,1.0,
USA,XDC_USD,EOP_RT,M,2000-M08,1.0,
USA,XDC_USD,EOP_RT,M,2000-M09,1.0,
USA,XDC_USD,EOP_RT,M,2000-M10,1.0,
USA,XDC_USD,EOP_RT,M,2000-M11,1.0,
USA,XDC_USD,EOP_RT,M,2000-M12,1.0,
USA,XDC_USD,EOP_RT,M,2001-M01,1.0,
USA,XDC_USD,EOP_RT,M,2001-M02,1.0,
USA,XDC_USD,EOP_RT,M,2001-M03,1.0,
USA,XDC_USD,EOP_RT,M,2001-M04,1.0,
USA,XDC_USD,EOP_RT,M,2001-M05,1.0,
USA,XDC_USD,EOP_RT,M,2001-M06,1.0,
USA,XDC_USD,EOP_RT,M,2001-M07,1.0,
USA,XDC_USD,EOP_RT,M,2001-M08,1.0,
USA,XDC_USD,EOP_RT,M,2001-M09,1.0,
USA,XDC_USD,EOP_RT,M,2001-M10,1.0,
USA,XDC_USD,EOP_RT,M,2001-M11,1.0,
USA,XDC_USD,EOP_RT,M,2001-M12,1.0,
USA,XDC_USD,EOP_RT,M,2002-M01,1.0,
USA,XDC_USD,EOP_RT,M,2002-M02,1.0,
USA,XDC_USD,EOP_RT,M,2002-M03,1.0,
USA,XDC_USD,EOP_RT,M,2002-M04,1.0,
USA,XDC_USD,EOP_RT,M,2002-M05,1.0,
USA,XDC_USD,EOP_RT,M,2002-M06,1.0,
USA,XDC_USD,EOP_RT,M,2002-M07,1.0,
USA,XDC_USD,EOP_RT,M,2002-M08,1.0,
USA,XDC_USD,EOP_RT,M,2002-M09,1.0,
USA,XDC_USD,EOP_RT,M,2002-M10,1.0,
USA,XDC_USD,EOP_RT,M,2002-M11,1.0,
USA,XDC_USD,EOP_RT,M,2002-M12,1.0,
USA,XDC_USD,EOP_RT,M,2003-M01,1.0,
USA,XDC_USD,EOP_RT,M,2003-M02,1.0,
USA,XDC_USD,EOP_RT,M,2003-M03,1.0,
USA,XDC_USD,EOP_RT,M,2003-M04,1.0,
USA,XDC_USD,EOP_RT,M,2003-M05,1.0,
USA,XDC_USD,EOP_RT,M,2003-M06,1.0,
USA,XDC_USD,EOP_RT,M,2003-M07,1.0,
USA,XDC_USD,EOP_RT,M,2003-M08,1.0,
USA,XDC_USD,EOP_RT,M,2003-M09,1.0,
USA,XDC_USD,EOP_RT,M,2003-M10,1.0,
USA,XDC_USD,EOP_RT,M,2003-M11,1.0,
USA,XDC_USD,EOP_RT,M,2003-M12,1.0,
USA,XDC_USD,EOP_RT,M,2004-M01,1.0,
USA,XDC_USD,EOP_RT,M,2004-M02,1.0,
USA,XDC_USD,EOP_RT,M,2004-M03,1.0,
USA,XDC_USD,EOP_RT,M,2004-M04,1.0,
USA,XDC_USD,EOP_RT,M,2004-M05,1.0,
USA,XDC_USD,EOP_RT,M,2004-M06,1.0,
USA,XDC_USD,EOP_RT,M,2004-M07,1.0,
USA,XDC_USD,EOP_RT,M,2004-M08,1.0,
USA,XDC_USD,EOP_RT,M,2004-M09,1.0,
USA,XDC_USD,EOP_RT,M,2004-M10,1.0,
USA,XDC_USD,EOP_RT,M,2004-M11,1.0,
USA,XDC_USD,EOP_RT,M,2004-M12,1.0,
USA,XDC_USD,EOP_RT,M,2005-M01,1.0,
USA,XDC_USD,EOP_RT,M,2005-M02,1.0,
USA,XDC_USD,EOP_RT,M,2005-M03,1.0,
USA,XDC_USD,EOP_RT,M,2005-M04,1.0,
USA,XDC_USD,EOP_RT,M,2005-M05,1.0,
USA,XDC_USD,EOP_RT,M,2005-M06,1.0,
USA,XDC_USD,EOP_RT,M,2005-M07,1.0,
USA,XDC_USD,EOP_RT,M,2005-M08,1.0,
USA,XDC_USD,EOP_RT,M,2005-M09,1.0,
USA,XDC_USD,EOP_RT,M,2005-M10,1.0,
USA,XDC_USD,EOP_RT,M,2005-M11,1.0,
USA,XDC_USD,EOP_RT,M,2005-M12,1.0,
USA,XDC_USD,EOP_RT,M,2006-M01,1.0,
USA,XDC_USD,EOP_RT,M,2006-M02,1.0,
USA,XDC_USD,EOP_RT,M,2006-M03,1.0,
USA,XDC_USD,EOP_RT,M,2006-M04,1.0,
USA,XDC_USD,EOP_RT,M,2006-M05,1.0,
USA,XDC_USD,EOP_RT,M,2006-M06,1.0,
USA,XDC_USD,EOP_RT,M,2006-M07,1.0,
USA,XDC_USD,EOP_RT,M,2006-M08,1.0,
USA,XDC_USD,EOP_RT,M,2006-M09,1.0,
USA,XDC_USD,EOP_RT,M,2006-M10,1.0,
USA,XDC_USD,EOP_RT,M,2006-M11,1.0,
USA,XDC_USD,EOP_RT,M,2006-M12,1.0,
USA,XDC_USD,EOP_RT,M,2007-M01,1.0,
USA,XDC_USD,EOP_RT,M,2007-M02,1.0,
USA,XDC_USD,EOP_RT,M,2007-M03,1.0,
USA,XDC_USD,EOP_RT,M,2007-M04,1.0,
USA,XDC_USD,EOP_RT,M,2007-M05,1.0,
USA,XDC_USD,EOP_RT,M,2007-M06,1.0,
USA,XDC_USD,EOP_RT,M,2007-M07,1.0,
USA,XDC_USD,EOP_RT,M,2007-M08,1.0,
USA,XDC_USD,EOP_RT,M,2007-M09,1.0,
USA,XDC_USD,EOP_RT,M,2007-M10,1.0,
USA,XDC_USD,EOP_RT,M,2007-M11,1.0,
USA,XDC_USD,EOP_RT,M,2007-M12,1.0,
USA,XDC_USD,EOP_RT,M,2008-M01,1.0,
USA,XDC_USD,EOP_RT,M,2008-M02,1.0,
USA,XDC_USD,EOP_RT,M,2008-M03,1.0,
USA,XDC_USD,EOP_RT,M,2008-M04,1.0,
USA,XDC_USD,EOP_RT,M,2008-M05,1.0,
USA,XDC_USD,EOP_RT,M,2008-M06,1.0,
USA,XDC_USD,EOP_RT,M,2008-M07,1.0,
USA,XDC_USD,EOP_RT,M,2008-M08,1.0,
USA,XDC_USD,EOP_RT,M,2008-M09,1.0,
USA,XDC_USD,EOP_RT,M,2008-M10,1.0,
USA,XDC_USD,EOP_RT,M,2008-M11,1.0,
USA,XDC_USD,EOP_RT,M,2008-M12,1.0,
USA,XDC_USD,EOP_RT,M,2009-M01,1.0,
USA,XDC_USD,EOP_RT,M,2009-M02,1.0,
USA,XDC_USD,EOP_RT,M,2009-M03,1.0,
USA,XDC_USD,EOP_RT,M,2009-M04,1.0,
USA,XDC_USD,EOP_RT,M,2009-M05,1.0,
USA,XDC_USD,EOP_RT,M,2009-M06,1.0,
USA,XDC_USD,EOP_RT,M,2009-M07,1.0,
USA,XDC_USD,EOP_RT,M,2009-M08,1.0,
USA,XDC_USD,EOP_RT,M,2009-M09,1.0,
USA,XDC_USD,EOP_RT,M,2009-M10,1.0,
USA,XDC_USD,EOP_RT,M,2009-M11,1.0,
USA,XDC_USD,EOP_RT,M,2009-M12,1.0,
USA,XDC_USD,EOP_RT,M,2010-M01,1.0,
USA,XDC_USD,EOP_RT,M,2010-M02,1.0,
USA,XDC_USD,EOP_RT,M,2010-M03,1.0,
USA,XDC_USD,EOP_RT,M,2010-M04,1.0,
USA,XDC_USD,EOP_RT,M,2010-M05,1.0,
USA,XDC_USD,EOP_RT,M,2010-M06,1.0,
USA,XDC_USD,EOP_RT,M,2010-M07,1.0,
USA,XDC_USD,EOP_RT,M,2010-M08,1.0,
USA,XDC_USD,EOP_RT,M,2010-M09,1.0,
USA,XDC_USD,EOP_RT,M,2010-M10,1.0,
USA,XDC_USD,EOP_RT,M,2010-M11,1.0,
USA,XDC_USD,EOP_RT,M,2010-M12,1.0,
USA,XDC_USD,EOP_RT,M,2011-M01,1.0,
USA,XDC_USD,EOP_RT,M,2011-M02,1.0,
USA,XDC_USD,EOP_RT,M,2011-M03,1.0,
USA,XDC_USD,EOP_RT,M,2011-M04,1.0,
USA,XDC_USD,EOP_RT,M,2011-M05,1.0,
USA,XDC_USD,EOP_RT,M,2011-M06,1.0,
USA,XDC_USD,EOP_RT,M,2011-M07,1.0,
USA,XDC_USD,EOP_RT,M,2011-M08,1.0,
USA,XDC_USD,EOP_RT,M,2011-M09,1.0,
USA,XDC_USD,EOP_RT,M,2011-M10,1.0,
USA,XDC_USD,EOP_RT,M,2011-M11,1.0,
USA,XDC_USD,EOP_RT,M,2011-M12,1.0,
USA,XDC_USD,EOP_RT,M,2012-M01,1.0,
USA,XDC_USD,EOP_RT,M,2012-M02,1.0,
USA,XDC_USD,EOP_RT,M,2012-M03,1.0,
USA,XDC_USD,EOP_RT,M,2012-M04,1.0,
USA,XDC_USD,EOP_RT,M,2012-M05,1.0,
USA,XDC_USD,EOP_RT,M,2012-M06,1.0,
USA,XDC_USD,EOP_RT,M,2012-M07,1.0,
USA,XDC_USD,EOP_RT,M,2012-M08,1.0,
USA,XDC_USD,EOP_RT,M,2012-M09,1.0,
USA,XDC_USD,EOP_RT,M,2012-M10,1.0,
USA,XDC_USD,EOP_RT,M,2012-M11,1.0,
USA,XDC_USD,EOP_RT,M,2012-M12,1.0,
USA,XDC_USD,EOP_RT,M,2013-M01,1.0,
USA,XDC_USD,EOP_RT,M,2013-M02,1.0,
USA,XDC_USD,EOP_RT,M,2013-M03,1.0,
USA,XDC_USD,EOP_RT,M,2013-M04,1.0,
USA,XDC_USD,EOP_RT,M,2013-M05,1.0,
USA,XDC_USD,EOP_RT,M,2013-M06,1.0,
USA,XDC_USD,EOP_RT,M,2013-M07,1.0,
USA,XDC_USD,EOP_RT,M,2013-M08,1.0,
USA,XDC_USD,EOP_RT,M,2013-M09,1.0,
USA,XDC_USD,EOP_RT,M,2013-M10,1.0,
USA,XDC_USD,EOP_RT,M,2013-M11,1.0,
USA,XDC_USD,EOP_RT,M,2013-M12,1.0,
USA,XDC_USD,EOP_RT,M,2014-M01,1.0,
USA,XDC_USD,EOP_RT,M,2014-M02,1.0,
USA,XDC_USD,EOP_RT,M,2014-M03,1.0,
USA,XDC_USD,EOP_RT,M,2014-M04,1.0,
USA,XDC_USD,EOP_RT,M,2014-M05,1.0,
USA,XDC_USD,EOP_RT,M,2014-M06,1.0,
USA,XDC_USD,EOP_RT,M,2014-M07,1.0,
USA,XDC_USD,EOP_RT,M,2014-M08,1.0,
USA,XDC_USD,EOP_RT,M,2014-M09,1.0,
USA,XDC_USD,EOP_RT,M,2014-M10,1.0,
USA,XDC_USD,EOP_RT,M,2014-M11,1.0,
USA,XDC_USD,EOP_RT,M,2014-M12,1.0,
USA,XDC_USD,EOP_RT,M,2015-M01,1.0,
USA,XDC_USD,EOP_RT,M,2015-M02,1.0,
USA,XDC_USD,EOP_RT,M,2015-M03,1.0,
USA,XDC_USD,EOP_RT,M,2015-M04,1.0,
USA,XDC_USD,EOP_RT,M,2015-M05,1.0,
USA,XDC_USD,EOP_RT,M,2015-M06,1.0,
USA,XDC_USD,EOP_RT,M,2015-M07,1.0,
USA,XDC_USD,EOP_RT,M,2015-M08,1.0,
USA,XDC_USD,EOP_RT,M,2015-M09,1.0,
USA,XDC_USD,EOP_RT,M,2015-M10,1.0,
USA,XDC_USD,EOP_RT,M,2015-M11,1.0,
USA,XDC_USD,EOP_RT,M,2015-M12,1.0,
USA,XDC_USD,EOP_RT,M,2016-M01,1.0,
USA,XDC_USD,EOP_RT,M,2016-M02,1.0,
USA,XDC_USD,EOP_RT,M,2016-M03,1.0,
USA,XDC_USD,EOP_RT,M,2016-M04,1.0,
USA,XDC_USD,EOP_RT,M,2016-M05,1.0,
USA,XDC_USD,EOP_RT,M,2016-M06,1.0,
USA,XDC_USD,EOP_RT,M,2016-M07,1.0,
USA,XDC_USD,EOP_RT,M,2016-M08,1.0,
USA,XDC_USD,EOP_RT,M,2016-M09,1.0,
USA,XDC_USD,EOP_RT,M,2016-M10,1.0,
USA,XDC_USD,EOP_RT,M,2016-M11,1.0,
USA,XDC_USD,EOP_RT,M,2016-M12,1.0,
USA,XDC_USD,EOP_RT,M,2017-M01,1.0,
USA,XDC_USD,EOP_RT,M,2017-M02,1.0,
USA,XDC_USD,EOP_RT,M,2017-M03,1.0,
USA,XDC_USD,EOP_RT,M,2017-M04,1.0,
USA,XDC_USD,EOP_RT,M,2017-M05,1.0,
USA,XDC_USD,EOP_RT,M,2017-M06,1.0,
USA,XDC_USD,EOP_RT,M,2017-M07,1.0,
USA,XDC_USD,EOP_RT,M,2017-M08,1.0,
USA,XDC_USD,EOP_RT,M,2017-M09,1.0,
USA,XDC_USD,EOP_RT,M,2017-M10,1.0,
USA,XDC_USD,EOP_RT,M,2017-M11,1.0,
USA,XDC_USD,EOP_RT,M,2017-M12,1.0,
USA,XDC_USD,EOP_RT,M,2018-M01,1.0,
USA,XDC_USD,EOP_RT,M,2018-M02,1.0,
USA,XDC_USD,EOP_RT,M,2018-M03,1.0,
USA,XDC_USD,EOP_RT,M,2018-M04,1.0,
USA,XDC_USD,EOP_RT,M,2018-M05,1.0,
USA,XDC_USD,EOP_RT,M,2018-M06,1.0,
USA,XDC_USD,EOP_RT,M,2018-M07,1.0,
USA,XDC_USD,EOP_RT,M,2018-M08,1.0,
USA,XDC_USD,EOP_RT,M,2018-M09,1.0,
USA,XDC_USD,EOP_RT,M,2018-M10,1.0,
USA,XDC_USD,EOP_RT,M,2018-M11,1.0,
USA,XDC_USD,EOP_RT,M,2018-M12,1.0,
USA,XDC_USD,EOP_RT,M,2019-M01,1.0,
USA,XDC_USD,EOP_RT,M,2019-M02,1.0,
USA,XDC_USD,EOP_RT,M,2019-M03,1.0,
USA,XDC_USD,EOP_RT,M,2019-M04,1.0,
USA,XDC_USD,EOP_RT,M,2019-M05,1.0,
USA,XDC_USD,EOP_RT,M,2019-M06,1.0,
USA,XDC_USD,EOP_RT,M,2019-M07,1.0,
USA,XDC_USD,EOP_RT,M,2019-M08,1.0,
USA,XDC_USD,EOP_RT,M,2019-M09,1.0,
USA,XDC_USD,EOP_RT,M,2019-M10,1.0,
USA,XDC_USD,EOP_RT,M,2019-M11,1.0,
USA,XDC_USD,EOP_RT,M,2019-M12,1.0,
USA,XDC_USD,EOP_RT,M,2020-M01,1.0,
USA,XDC_USD,EOP_RT,M,2020-M02,1.0,
USA,XDC_USD,EOP_RT,M,2020-M03,1.0,
USA,XDC_USD,EOP_RT,M,2020-M04,1.0,
USA,XDC_USD,EOP_RT,M,2020-M05,1.0,
USA,XDC_USD,EOP_RT,M,2020-M06,1.0,
USA,XDC_USD,EOP_RT,M,2020-M07,1.0,
USA,XDC_USD,EOP_RT,M,2020-M08,1.0,
USA,XDC_USD,EOP_RT,M,2020-M09,1.0,
USA,XDC_USD,EOP_RT,M,2020-M10,1.0,
USA,XDC_USD,EOP_RT,M,2020-M11,1.0,
USA,XDC_USD,EOP_RT,M,2020-M12,1.0,
USA,XDC_USD,EOP_RT,M,2021-M01,1.0,
USA,XDC_USD,EOP_RT,M,2021-M02,1.0,
USA,XDC_USD,EOP_RT,M,2021-M03,1.0,
USA,XDC_USD,EOP_RT,M,2021-M04,1.0,
USA,XDC_USD,EOP_RT,M,2021-M05,1.0,
USA,XDC_USD,EOP_RT,M,2021-M06,1.0,
USA,XDC_USD,EOP_RT,M,2021-M07,1.0,
USA,XDC_USD,EOP_RT,M,2021-M08,1.0,
USA,XDC_USD,EOP_RT,M,2021-M09,1.0,
USA,XDC_USD,EOP_RT,M,2021-M10,1.0,
USA,XDC_USD,EOP_RT,M,2021-M11,1.0,
USA,XDC_USD,EOP_RT,M,2021-M12,1.0,
USA,XDC_USD,EOP_RT,M,2022-M01,1.0,
USA,XDC_USD,EOP_RT,M,2022-M02,1.0,
USA,XDC_USD,EOP_RT,M,2022-M03,1.0,
USA,XDC_USD,EOP_RT,M,2022-M04,1.0,
USA,XDC_USD,EOP_RT,M,2022-M05,1.0,
USA,XDC_USD,EOP_RT,M,2022-M06,1.0,
USA,XDC_USD,EOP_RT,M,2022-M07,1.0,
USA,XDC_USD,EOP_RT,M,2022-M08,1.0,
USA,XDC_USD,EOP_RT,M,2022-M09,1.0,
USA,XDC_USD,EOP_RT,M,2022-M10,1.0,
USA,XDC_USD,EOP_RT,M,2022-M11,1.0,
USA,XDC_USD,EOP_RT,M,2022-M12,1.0,
USA,XDC_USD,EOP_RT,M,2023-M01,1.0,
USA,XDC_USD,EOP_RT,M,2023-M02,1.0,
USA,XDC_USD,EOP_RT,M,2023-M03,1.0,
USA,XDC_USD,EOP_RT,M,2023-M04,1.0,
USA,XDC_USD,EOP_RT,M,2023-M05,1.0,
USA,XDC_USD,EOP_RT,M,2023-M06,1.0,
USA,XDC_USD,EOP_RT,M,2023-M07,1.0,
USA,XDC_USD,EOP_RT,M,2023-M08,1.0,
USA,XDC_USD,EOP_RT,M,2023-M09,1.0,
USA,XDC_USD,EOP_RT,M,2023-M10,1.0,
USA,XDC_USD,EOP_RT,M,2023-M11,1.0,
USA,XDC_USD,EOP_RT,M,2023-M12,1.0,
USA,XDC_USD,EOP_RT,M,2024-M01,1.0,
USA,XDC_USD,EOP_RT,M,2024-M02,1.0,
USA,XDC_USD,EOP_RT,M,2024-M03,1.0,
USA,XDC_USD,EOP_RT,M,2024-M04,1.0,
USA,XDC_USD,EOP_RT,M,2024-M05,1.0,
USA,XDC_USD,EOP_RT,M,2024-M06,1.0,
USA,XDC_USD,EOP_RT,M,2024-M07,1.0,
USA,XDC_USD,EOP_RT,M,2024-M08,1.0,
USA,XDC_USD,EOP_RT,M,2024-M09,1.0,
USA,XDC_USD,EOP_RT,M,2024-M10,1.0,
USA,XDC_USD,EOP_RT,M,2024-M11,1.0,
USA,XDC_USD,EOP_RT,M,2024-M12,1.0,
USA,XDC_USD,EOP_RT,M,2025-M01,1.0,
USA,XDC_USD,EOP_RT,M,2025-M02,1.0,
USA,XDC_USD,EOP_RT,M,2025-M03,1.0,
USA,XDC_USD,EOP_RT,M,2025-M04,1.0,
USA,XDC_USD,EOP_RT,M,2025-M05,1.0,
USA,XDC_USD,EOP_RT,M,2025-M06,1.0,
USA,XDC_USD,EOP_RT,M,2025-M07,1.0,
USA,XDC_USD,EOP_RT,M,2025-M08,1.0,
USA,XDC_USD,PA_RT,M,2000-M01,1.0,
USA,XDC_USD,PA_RT,M,2000-M02,1.0,
USA,XDC_USD,PA_RT,M,2000-M03,1.0,
USA,XDC_USD,PA_RT,M,2000-M04,1.0,
USA,XDC_USD,PA_RT,M,2000-M05,1.0,
USA,XDC_USD,PA_RT,M,2000-M06,1.0,
USA,XDC_USD,PA_RT,M,2000-M07,1.0,
USA,XDC_USD,PA_RT,M,2000-M08,1.0,
USA,XDC_USD,PA_RT,M,2000-M09,1.0,
USA,XDC_USD,PA_RT,M,2000-M10,1.0,
USA,XDC_USD,PA_RT,M,2000-M11,1.0,
USA,XDC_USD,PA_RT,M,2000-M12,1.0,
USA,XDC_USD,PA_RT,M,2001-M01,1.0,
USA,XDC_USD,PA_RT,M,2001-M02,1.0,
USA,XDC_USD,PA_RT,M,2001-M03,1.0,
USA,XDC_USD,PA_RT,M,2001-M04,1.0,
USA,XDC_USD,PA_RT,M,2001-M05,1.0,
USA,XDC_USD,PA_RT,M,2001-M06,1.0,
USA,XDC_USD,PA_RT,M,2001-M07,1.0,
USA,XDC_USD,PA_RT,M,2001-M08,1.0,
USA,XDC_USD,PA_RT,M,2001-M09,1.0,
USA,XDC_USD,PA_RT,M,2001-M10,1.0,
USA,XDC_USD,PA_RT,M,2001-M11,1.0,
USA,XDC_USD,PA_RT,M,2001-M12,1.0,
USA,XDC_USD,PA_RT,M,2002-M01,1.0,
USA,XDC_USD,PA_RT,M,2002-M02,1.0,
USA,XDC_USD,PA_RT,M,2002-M03,1.0,
USA,XDC_USD,PA_RT,M,2002-M04,1.0,
USA,XDC_USD,PA_RT,M,2002-M05,1.0,
USA,XDC_USD,PA_RT,M,2002-M06,1.0,
USA,XDC_USD,PA_RT,M,2002-M07,1.0,
USA,XDC_USD,PA_RT,M,2002-M08,1.0,
USA,XDC_USD,PA_RT,M,2002-M09,1.0,
USA,XDC_USD,PA_RT,M,2002-M10,1.0,
USA,XDC_USD,PA_RT,M,2002-M11,1.0,
USA,XDC_USD,PA_RT,M,2002-M12,1.0,
USA,XDC_USD,PA_RT,M,2003-M01,1.0,
USA,XDC_USD,PA_RT,M,2003-M02,1.0,
USA,XDC_USD,PA_RT,M,2003-M03,1.0,
USA,XDC_USD,PA_RT,M,2003-M04,1.0,
USA,XDC_USD,PA_RT,M,2003-M05,1.0,
USA,XDC_USD,PA_RT,M,2003-M06,1.0,
USA,XDC_USD,PA_RT,M,2003-M07,1.0,
USA,XDC_USD,PA_RT,M,2003-M08,1.0,
USA,XDC_USD,PA_RT,M,2003-M09,1.0,
USA,XDC_USD,PA_RT,M,2003-M10,1.0,
USA,XDC_USD,PA_RT,M,2003-M11,1.0,
USA,XDC_USD,PA_RT,M,2003-M12,1.0,
USA,XDC_USD,PA_RT,M,2004-M01,1.0,
USA,XDC_USD,PA_RT,M,2004-M02,1.0,
USA,XDC_USD,PA_RT,M,2004-M03,1.0,
USA,XDC_USD,PA_RT,M,2004-M04,1.0,
USA,XDC_USD,PA_RT,M,2004-M05,1.0,
USA,XDC_USD,PA_RT,M,2004-M06,1.0,
USA,XDC_USD,PA_RT,M,2004-M07,1.0,
USA,XDC_USD,PA_RT,M,2004-M08,1.0,
USA,XDC_USD,PA_RT,M,2004-M09,1.0,
USA,XDC_USD,PA_RT,M,2004-M10,1.0,
USA,XDC_USD,PA_RT,M,2004-M11,1.0,
USA,XDC_USD,PA_RT,M,2004-M12,1.0,
USA,XDC_USD,PA_RT,M,2005-M01,1.0,
USA,XDC_USD,PA_RT,M,2005-M02,1.0,
USA,XDC_USD,PA_RT,M,2005-M03,1.0,
USA,XDC_USD,PA_RT,M,2005-M04,1.0,
USA,XDC_USD,PA_RT,M,2005-M05,1.0,
USA,XDC_USD,PA_RT,M,2005-M06,1.0,
USA,XDC_USD,PA_RT,M,2005-M07,1.0,
USA,XDC_USD,PA_RT,M,2005-M08,1.0,
USA,XDC_USD,PA_RT,M,2005-M09,1.0,
USA,XDC_USD,PA_RT,M,2005-M10,1.0,
USA,XDC_USD,PA_RT,M,2005-M11,1.0,
USA,XDC_USD,PA_RT,M,2005-M12,1.0,
USA,XDC_USD,PA_RT,M,2006-M01,1.0,
USA,XDC_USD,PA_RT,M,2006-M02,1.0,
USA,XDC_USD,PA_RT,M,2006-M03,1.0,
USA,XDC_USD,PA_RT,M,2006-M04,1.0,
USA,XDC_USD,PA_RT,M,2006-M05,1.0,
USA,XDC_USD,PA_RT,M,2006-M06,1.0,
USA,XDC_USD,PA_RT,M,2006-M07,1.0,
USA,XDC_USD,PA_RT,M,2006-M08,1.0,
USA,XDC_USD,PA_RT,M,2006-M09,1.0,
USA,XDC_USD,PA_RT,M,2006-M10,1.0,
USA,XDC_USD,PA_RT,M,2006-M11,1.0,
USA,XDC_USD,PA_RT,M,2006-M12,1.0,
USA,XDC_USD,PA_RT,M,2007-M01,1.0,
USA,XDC_USD,PA_RT,M,2007-M02,1.0,
USA,XDC_USD,PA_RT,M,2007-M03,1.0,
USA,XDC_USD,PA_RT,M,2007-M04,1.0,
USA,XDC_USD,PA_RT,M,2007-M05,1.0,
USA,XDC_USD,PA_RT,M,2007-M06,1.0,
USA,XDC_USD,PA_RT,M,2007-M07,1.0,
USA,XDC_USD,PA_RT,M,2007-M08,1.0,
USA,XDC_USD,PA_RT,M,2007-M09,1.0,
USA,XDC_USD,PA_RT,M,2007-M10,1.0,
USA,XDC_USD,PA_RT,M,2007-M11,1.0,
USA,XDC_USD,PA_RT,M,2007-M12,1.0,
USA,XDC_USD,PA_RT,M,2008-M01,1.0,
USA,XDC_USD,PA_RT,M,2008-M02,1.0,
USA,XDC_USD,PA_RT,M,2008-M03,1.0,
USA,XDC_USD,PA_RT,M,2008-M04,1.0,
USA,XDC_USD,PA_RT,M,2008-M05,1.0,
USA,XDC_USD,PA_RT,M,2008-M06,1.0,
USA,XDC_USD,PA_RT,M,2008-M07,1.0,
USA,XDC_USD,PA_RT,M,2008-M08,1.0,
USA,XDC_USD,PA_RT,M,2008-M09,1.0,
USA,XDC_USD,PA_RT,M,2008-M10,1.0,
USA,XDC_USD,PA_RT,M,2008-M11,1.0,
USA,XDC_USD,PA_RT,M,2008-M12,1.0,
USA,XDC_USD,PA_RT,M,2009-M01,1.0,
USA,XDC_USD,PA_RT,M,2009-M02,1.0,
USA,XDC_USD,PA_RT,M,2009-M03,1.0,
USA,XDC_USD,PA_RT,M,2009-M04,1.0,
USA,XDC_USD,PA_RT,M,2009-M05,1.0,
USA,XDC_USD,PA_RT,M,2009-M06,1.0,
USA,XDC_USD,PA_RT,M,2009-M07,1.0,
USA,XDC_USD,PA_RT,M,2009-M08,1.0,
USA,XDC_USD,PA_RT,M,2009-M09,1.0,
USA,XDC_USD,PA_RT,M,2009-M10,1.0,
USA,XDC_USD,PA_RT,M,2009-M11,1.0,
USA,XDC_USD,PA_RT,M,2009-M12,1.0,
USA,XDC_USD,PA_RT,M,2010-M01,1.0,
USA,XDC_USD,PA_RT,M,2010-M02,1.0,
USA,XDC_USD,PA_RT,M,2010-M03,1.0,
USA,XDC_USD,PA_RT,M,2010-M04,1.0,
USA,XDC_USD,PA_RT,M,2010-M05,1.0,
USA,XDC_USD,PA_RT,M,2010-M06,1.0,
USA,XDC_USD,PA_RT,M,2010-M07,1.0,
USA,XDC_USD,PA_RT,M,2010-M08,1.0,
USA,XDC_USD,PA_RT,M,2010-M09,1.0,
USA,XDC_USD,PA_RT,M,2010-M10,1.0,
USA,XDC_USD,PA_RT,M,2010-M11,1.0,
USA,XDC_USD,PA_RT,M,2010-M12,1.0,
USA,XDC_USD,PA_RT,M,2011-M01,1.0,
USA,XDC_USD,PA_RT,M,2011-M02,1.0,
USA,XDC_USD,PA_RT,M,2011-M03,1.0,
USA,XDC_USD,PA_RT,M,2011-M04,1.0,
USA,XDC_USD,PA_RT,M,2011-M05,1.0,
USA,XDC_USD,PA_RT,M,2011-M06,1.0,
USA,XDC_USD,PA_RT,M,2011-M07,1.0,
USA,XDC_USD,PA_RT,M,2011-M08,1.0,
USA,XDC_USD,PA_RT,M,2011-M09,1.0,
USA,XDC_USD,PA_RT,M,2011-M10,1.0,
USA,XDC_USD,PA_RT,M,2011-M11,1.0,
USA,XDC_USD,PA_RT,M,2011-M12,1.0,
USA,XDC_USD,PA_RT,M,2012-M01,1.0,
USA,XDC_USD,PA_RT,M,2012-M02,1.0,
USA,XDC_USD,PA_RT,M,2012-M03,1.0,
USA,XDC_USD,PA_RT,M,2012-M04,1.0,
USA,XDC_USD,PA_RT,M,2012-M05,1.0,
USA,XDC_USD,PA_RT,M,2012-M06,1.0,
USA,XDC_USD,PA_RT,M,2012-M07,1.0,
USA,XDC_USD,PA_RT,M,2012-M08,1.0,
USA,XDC_USD,PA_RT,M,2012-M09,1.0,
USA,XDC_USD,PA_RT,M,2012-M10,1.0,
USA,XDC_USD,PA_RT,M,2012-M11,1.0,
USA,XDC_USD,PA_RT,M,2012-M12,1.0,
USA,XDC_USD,PA_RT,M,2013-M01,1.0,
USA,XDC_USD,PA_RT,M,2013-M02,1.0,
USA,XDC_USD,PA_RT,M,2013-M03,1.0,
USA,XDC_USD,PA_RT,M,2013-M04,1.0,
USA,XDC_USD,PA_RT,M,2013-M05,1.0,
USA,XDC_USD,PA_RT,M,2013-M06,1.0,
